resistance_thumb,bend_thumb,resistance_index,bend_index,resistance_mid,bend_mid,resistance_ring,bend_ring,resistance_little,bend_little,x,y,z,stage
13736.25,22,12654.23,15,11726.79,10,12654.23,15,13736.25,22,-37,75,-85,1
13736.25,22,12173.33,13,12654.23,15,12654.23,15,13173.6,19,-36,74,-86,1
14347.83,26,12173.33,13,12173.33,13,13173.6,19,15015,30,-36,75,-87,1
13173.6,19,11726.79,10,11726.79,10,12654.23,15,13736.25,22,-38,73,-88,1
13736.25,22,11726.79,10,11311.04,7,12654.23,15,14347.83,26,-36,74,-86,0
13173.6,19,11311.04,7,10923,5,12654.23,15,14347.83,26,-37,75,-86,0
13173.6,19,11311.04,7,11311.04,7,12654.23,15,14347.83,26,-36,77,-87,0
12654.23,15,10923,5,10560,3,12654.23,15,14347.83,26,-38,74,-86,0
13736.25,22,10923,5,10923,5,13173.6,19,15015,30,-37,77,-85,0
12173.33,13,10560,3,10560,3,12654.23,15,14347.83,26,-37,74,-86,0
12173.33,13,10560,3,10923,5,13173.6,19,13736.25,22,-36,77,-85,0
12173.33,13,10923,5,11311.04,7,13173.6,19,13173.6,19,-36,76,-85,0
11726.79,10,10560,3,10560,3,12654.23,15,13173.6,19,-35,75,-85,0
11726.79,10,10923,5,10560,3,13173.6,19,12654.23,15,-37,75,-85,0
11726.79,10,10560,3,11311.04,7,13173.6,19,12173.33,13,-37,74,-86,0
11311.04,7,10560,3,10923,5,13173.6,19,11726.79,10,-37,78,-86,0
11726.79,10,10923,5,11311.04,7,12654.23,15,11311.04,7,-34,76,-84,0
12173.33,13,10923,5,11311.04,7,13736.25,22,11726.79,10,-38,77,-85,0
11726.79,10,10219.69,1,10923,5,12654.23,15,11726.79,10,-35,78,-80,0
12173.33,13,10560,3,10923,5,13736.25,22,11311.04,7,-34,77,-79,0
13173.6,19,10560,3,10923,5,13173.6,19,10923,5,-34,76,-79,0
12654.23,15,10923,5,10923,5,12654.23,15,10560,3,-34,76,-76,0
12654.23,15,10219.69,1,10923,5,13173.6,19,10923,5,-32,75,-76,0
12654.23,15,10923,5,10560,3,13173.6,19,11311.04,7,-35,73,-75,0
12173.33,13,10219.69,1,11311.04,7,12654.23,15,11311.04,7,-35,75,-76,0
12654.23,15,10923,5,10923,5,12654.23,15,11311.04,7,-34,73,-77,0
12173.33,13,10923,5,10923,5,13173.6,19,11311.04,7,-30,75,-74,0
12654.23,15,10219.69,1,10923,5,12654.23,15,10923,5,-30,76,-76,0
12173.33,13,10219.69,1,10560,3,12654.23,15,10560,3,-31,76,-73,0
12173.33,13,10560,3,10923,5,11726.79,10,10219.69,1,-30,76,-73,0
12654.23,15,10219.69,1,10923,5,11726.79,10,10923,5,-30,77,-75,0
12654.23,15,10923,5,10923,5,11726.79,10,10923,5,-28,78,-73,0
13173.6,19,10219.69,1,11311.04,7,11726.79,10,10560,3,-28,78,-73,0
12173.33,13,10560,3,10923,5,11311.04,7,10560,3,-30,78,-74,0
11726.79,10,13173.6,19,13173.6,19,15015,30,10923,5,36,-3,-119,1
12173.33,13,13173.6,19,12654.23,15,15015,30,10923,5,35,-4,-119,1
12173.33,13,12654.23,15,13173.6,19,15745.71,34,10923,5,35,-1,-120,1
12173.33,13,12654.23,15,12173.33,13,15745.71,34,11311.04,7,36,-2,-119,1
11726.79,10,12654.23,15,12173.33,13,15745.71,34,10923,5,37,-2,-118,1
12173.33,13,14347.83,26,12654.23,15,16549.5,39,11726.79,10,36,-5,-119,1
11726.79,10,17437.89,44,13173.6,19,19528.23,57,13736.25,22,36,-1,-119,1
12173.33,13,23783.57,82,13173.6,19,23783.57,82,15745.71,34,37,-1,-118,1
12173.33,13,27802.5,106,14347.83,26,30360,122,22176,73,36,-1,-118,1
12173.33,13,33429,140,17437.89,44,33429,140,33429,140,34,-1,-117,1
13173.6,19,41868.75,191,22176,73,41868.75,191,41868.75,191,36,-3,-116,2
13736.25,22,41868.75,191,30360,122,47897.14,227,47897.14,227,36,-2,-118,2
15015,30,47897.14,227,33429,140,47897.14,227,47897.14,227,37,-2,-115,2
16549.5,39,47897.14,227,41868.75,191,41868.75,191,67188,343,37,-2,-117,2
17437.89,44,47897.14,227,47897.14,227,47897.14,227,55935,275,38,-3,-115,2
19528.23,57,47897.14,227,47897.14,227,55935,275,47897.14,227,37,-2,-115,2
20769.38,64,55935,275,47897.14,227,47897.14,227,47897.14,227,37,-1,-115,2
23783.57,82,47897.14,227,41868.75,191,55935,275,47897.14,227,39,-3,-113,2
25638.46,93,41868.75,191,47897.14,227,55935,275,47897.14,227,38,-2,-113,2
27802.5,106,47897.14,227,47897.14,227,47897.14,227,55935,275,41,-1,-116,2
30360,122,47897.14,227,41868.75,191,41868.75,191,41868.75,191,38,-3,-114,2
33429,140,47897.14,227,41868.75,191,47897.14,227,47897.14,227,40,-3,-115,2
33429,140,41868.75,191,47897.14,227,41868.75,191,41868.75,191,38,-2,-113,2
30360,122,41868.75,191,41868.75,191,37180,163,55935,275,40,-3,-114,2
33429,140,47897.14,227,41868.75,191,22176,73,55935,275,38,-2,-115,2
33429,140,41868.75,191,41868.75,191,15745.71,34,47897.14,227,38,-1,-113,2
30360,122,37180,163,41868.75,191,13736.25,22,47897.14,227,40,0,-114,2
33429,140,37180,163,41868.75,191,12654.23,15,47897.14,227,39,0,-114,2
30360,122,25638.46,93,33429,140,12173.33,13,33429,140,37,-2,-113,2
30360,122,18425,50,25638.46,93,12654.23,15,20769.38,64,37,-2,-111,2
30360,122,16549.5,39,17437.89,44,12654.23,15,16549.5,39,39,-3,-115,1
27802.5,106,14347.83,26,15015,30,12173.33,13,12173.33,13,40,-1,-113,1
30360,122,12173.33,13,13173.6,19,13173.6,19,10219.69,1,39,-2,-111,1
30360,122,11311.04,7,12654.23,15,13173.6,19,10219.69,1,40,-2,-113,1
30360,122,10219.69,1,12173.33,13,12654.23,15,10219.69,1,39,-1,-113,1
30360,122,10923,5,11726.79,10,12654.23,15,9900,0,40,-1,-113,1
30360,122,10219.69,1,11311.04,7,13173.6,19,10219.69,1,41,-2,-115,0
30360,122,10923,5,10923,5,12173.33,13,10219.69,1,40,-2,-112,0
23783.57,82,10560,3,10219.69,1,13173.6,19,9900,0,39,1,-114,0
22176,73,10219.69,1,10560,3,12654.23,15,10219.69,1,39,-1,-116,0
19528.23,57,10923,5,10560,3,13173.6,19,10219.69,1,39,-2,-114,0
16549.5,39,10560,3,10219.69,1,13173.6,19,10219.69,1,38,2,-114,0
16549.5,39,10560,3,9900,0,12173.33,13,9900,0,40,-2,-115,0
15015,30,10219.69,1,10219.69,1,12654.23,15,9900,0,42,0,-113,0
13173.6,19,10560,3,10219.69,1,12654.23,15,9900,0,41,-1,-113,0
13173.6,19,10560,3,10219.69,1,12173.33,13,10219.69,1,40,-1,-112,0
12654.23,15,10560,3,10219.69,1,13173.6,19,10219.69,1,39,-2,-115,0
13173.6,19,10560,3,10219.69,1,13173.6,19,9900,0,40,-2,-112,0
12654.23,15,10923,5,9599.12,-2,12654.23,15,10219.69,1,40,-1,-113,0
12654.23,15,10560,3,10219.69,1,13173.6,19,10219.69,1,42,0,-113,0
12654.23,15,10923,5,9900,0,13173.6,19,10219.69,1,40,0,-112,0
13173.6,19,10560,3,10219.69,1,12173.33,13,9900,0,40,0,-114,0
13173.6,19,10923,5,10219.69,1,13173.6,19,10219.69,1,41,-1,-113,0
13173.6,19,10923,5,10219.69,1,13173.6,19,10219.69,1,39,0,-112,0
12654.23,15,10923,5,10219.69,1,12173.33,13,10219.69,1,41,0,-111,0
13173.6,19,11311.04,7,10219.69,1,13173.6,19,10219.69,1,41,0,-114,0
13173.6,19,14347.83,26,12654.23,15,14347.83,26,9900,0,40,0,-112,1
12654.23,15,19528.23,57,17437.89,44,16549.5,39,10219.69,1,42,-2,-112,1
13736.25,22,27802.5,106,23783.57,82,20769.38,64,13736.25,22,40,-1,-113,1
15015,30,33429,140,27802.5,106,23783.57,82,20769.38,64,41,-2,-111,2
16549.5,39,47897.14,227,37180,163,27802.5,106,30360,122,39,0,-112,2
19528.23,57,47897.14,227,41868.75,191,37180,163,37180,163,41,-2,-111,2
22176,73,55935,275,47897.14,227,37180,163,41868.75,191,40,-1,-111,2
25638.46,93,55935,275,47897.14,227,47897.14,227,47897.14,227,40,1,-112,2
27802.5,106,55935,275,41868.75,191,47897.14,227,41868.75,191,41,3,-112,2
30360,122,41868.75,191,41868.75,191,47897.14,227,47897.14,227,39,-1,-111,2
30360,122,47897.14,227,47897.14,227,55935,275,47897.14,227,41,-3,-110,2
30360,122,47897.14,227,47897.14,227,47897.14,227,47897.14,227,42,-1,-111,2
30360,122,41868.75,191,41868.75,191,47897.14,227,47897.14,227,41,-1,-111,2
30360,122,55935,275,47897.14,227,47897.14,227,47897.14,227,42,-3,-111,2
30360,122,37180,163,41868.75,191,41868.75,191,55935,275,40,-3,-109,2
30360,122,41868.75,191,47897.14,227,47897.14,227,55935,275,39,0,-110,2
30360,122,41868.75,191,41868.75,191,47897.14,227,55935,275,40,-1,-109,2
25638.46,93,41868.75,191,41868.75,191,47897.14,227,55935,275,41,0,-112,2
27802.5,106,41868.75,191,41868.75,191,41868.75,191,41868.75,191,42,-3,-110,2
25638.46,93,41868.75,191,41868.75,191,41868.75,191,37180,163,40,-1,-110,2
23783.57,82,41868.75,191,37180,163,37180,163,33429,140,41,-2,-111,2
19528.23,57,41868.75,191,30360,122,33429,140,25638.46,93,41,-1,-108,2
16549.5,39,37180,163,20769.38,64,23783.57,82,19528.23,57,40,-1,-109,1
14347.83,26,33429,140,13173.6,19,19528.23,57,15015,30,40,1,-110,1
13736.25,22,20769.38,64,11726.79,10,17437.89,44,10923,5,42,-3,-109,1
12654.23,15,16549.5,39,11311.04,7,15015,30,10219.69,1,41,-1,-109,0
12173.33,13,15015,30,10560,3,13736.25,22,10219.69,1,41,-1,-108,0
12173.33,13,13173.6,19,10560,3,13736.25,22,10219.69,1,41,-2,-110,0
11726.79,10,11726.79,10,10219.69,1,13173.6,19,9900,0,41,0,-108,0
11311.04,7,10923,5,10560,3,13736.25,22,9900,0,42,0,-110,0
10923,5,10923,5,10560,3,13173.6,19,10219.69,1,41,0,-110,0
11311.04,7,10560,3,10560,3,13173.6,19,9900,0,41,-2,-110,0
11311.04,7,10219.69,1,10219.69,1,13173.6,19,10219.69,1,42,-1,-110,0
11311.04,7,10219.69,1,10560,3,13736.25,22,10219.69,1,41,-1,-111,0
11311.04,7,10219.69,1,10560,3,13173.6,19,10219.69,1,41,-1,-109,0
11311.04,7,10219.69,1,10560,3,13736.25,22,10219.69,1,40,-1,-109,0
11726.79,10,10219.69,1,10219.69,1,13736.25,22,10219.69,1,41,-2,-107,0
11311.04,7,10219.69,1,10560,3,13173.6,19,10560,3,43,-1,-111,0
11726.79,10,9900,0,10560,3,13736.25,22,9900,0,41,0,-111,0
12654.23,15,10219.69,1,10219.69,1,12654.23,15,10219.69,1,42,2,-109,0
11726.79,10,10219.69,1,10219.69,1,14347.83,26,9900,0,41,-1,-110,0
12173.33,13,10219.69,1,10219.69,1,13173.6,19,10219.69,1,41,-1,-109,0
12173.33,13,10219.69,1,10219.69,1,13736.25,22,10219.69,1,42,0,-110,0
12654.23,15,10219.69,1,10560,3,13173.6,19,10560,3,41,0,-109,0
15015,30,10560,3,10219.69,1,13736.25,22,10219.69,1,40,0,-112,0
15015,30,10219.69,1,10560,3,13173.6,19,9900,0,42,-1,-111,0
14347.83,26,10219.69,1,10219.69,1,13736.25,22,9900,0,41,-2,-111,0
15745.71,34,10219.69,1,10560,3,13173.6,19,9900,0,42,-1,-109,0
15015,30,10219.69,1,10560,3,13736.25,22,10219.69,1,40,-2,-110,0
15015,30,10219.69,1,10560,3,13736.25,22,10219.69,1,40,-3,-111,0
17437.89,44,10560,3,16549.5,39,13173.6,19,10560,3,43,0,-111,1
18425,50,10219.69,1,18425,50,13173.6,19,17437.89,44,40,-1,-111,1
22176,73,10560,3,25638.46,93,14347.83,26,19528.23,57,40,0,-112,2
22176,73,11726.79,10,33429,140,19528.23,57,25638.46,93,40,-2,-111,2
23783.57,82,13736.25,22,41868.75,191,22176,73,30360,122,42,-2,-110,2
25638.46,93,17437.89,44,41868.75,191,27802.5,106,37180,163,43,1,-111,2
33429,140,22176,73,47897.14,227,30360,122,41868.75,191,41,0,-109,2
30360,122,27802.5,106,55935,275,37180,163,41868.75,191,43,1,-111,2
37180,163,33429,140,47897.14,227,41868.75,191,47897.14,227,39,1,-115,2
33429,140,37180,163,47897.14,227,41868.75,191,55935,275,39,2,-118,2
30360,122,41868.75,191,47897.14,227,47897.14,227,47897.14,227,43,3,-121,2
33429,140,47897.14,227,47897.14,227,41868.75,191,55935,275,39,2,-122,2
33429,140,47897.14,227,47897.14,227,41868.75,191,55935,275,38,3,-122,2
33429,140,47897.14,227,47897.14,227,47897.14,227,47897.14,227,37,2,-123,2
33429,140,47897.14,227,47897.14,227,41868.75,191,47897.14,227,39,3,-123,2
30360,122,47897.14,227,37180,163,41868.75,191,47897.14,227,38,2,-124,2
30360,122,47897.14,227,25638.46,93,41868.75,191,47897.14,227,39,2,-121,2
30360,122,55935,275,18425,50,37180,163,47897.14,227,40,2,-123,1
27802.5,106,41868.75,191,12654.23,15,37180,163,37180,163,39,3,-121,1
30360,122,41868.75,191,11726.79,10,41868.75,191,41868.75,191,39,2,-121,1
30360,122,47897.14,227,10923,5,37180,163,41868.75,191,41,1,-120,0
30360,122,47897.14,227,10560,3,30360,122,30360,122,40,1,-120,0
27802.5,106,41868.75,191,10923,5,22176,73,20769.38,64,39,1,-119,0
27802.5,106,41868.75,191,10560,3,18425,50,12654.23,15,39,3,-118,0
25638.46,93,47897.14,227,10560,3,15015,30,10923,5,39,1,-119,0
25638.46,93,37180,163,10923,5,13173.6,19,10219.69,1,38,-1,-118,0
27802.5,106,47897.14,227,10560,3,12654.23,15,10219.69,1,40,2,-119,0
25638.46,93,41868.75,191,10923,5,13173.6,19,10219.69,1,37,0,-117,0
25638.46,93,41868.75,191,10560,3,13173.6,19,9900,0,39,1,-117,0
23783.57,82,41868.75,191,10923,5,14347.83,26,9900,0,40,2,-120,0
23783.57,82,37180,163,10923,5,13173.6,19,9900,0,41,0,-119,0
23783.57,82,25638.46,93,10560,3,13173.6,19,9900,0,41,1,-118,0
22176,73,20769.38,64,10560,3,13736.25,22,9900,0,40,1,-118,0
20769.38,64,18425,50,11311.04,7,13736.25,22,9599.12,-2,40,1,-118,0
20769.38,64,15015,30,11311.04,7,13736.25,22,9599.12,-2,39,1,-118,0
20769.38,64,13736.25,22,11311.04,7,13736.25,22,9900,0,38,1,-117,0
20769.38,64,13173.6,19,10923,5,13736.25,22,9900,0,37,-1,-118,0
17437.89,44,11726.79,10,11311.04,7,13736.25,22,9900,0,40,0,-118,0
17437.89,44,10923,5,11311.04,7,13173.6,19,10219.69,1,39,0,-118,0
17437.89,44,10560,3,11311.04,7,13736.25,22,9599.12,-2,39,3,-119,0
17437.89,44,10560,3,11311.04,7,14347.83,26,9900,0,38,-1,-119,0
15745.71,34,9900,0,10923,5,13173.6,19,10219.69,1,39,2,-120,0
15015,30,10219.69,1,11311.04,7,13173.6,19,9900,0,40,1,-119,0
13736.25,22,10219.69,1,11726.79,10,13173.6,19,9900,0,37,0,-120,0
13736.25,22,10219.69,1,10923,5,13736.25,22,10219.69,1,38,1,-119,0
