resistance_thumb,bend_thumb,resistance_index,bend_index,resistance_mid,bend_mid,resistance_ring,bend_ring,resistance_little,bend_little,x,y,z,stage
33429,140,30360,122,47897.14,227,41868.75,191,47897.14,227,66,48,-119,4
27802.5,106,20769.38,64,47897.14,227,37180,163,37180,163,67,49,-118,4
27802.5,106,17437.89,44,41868.75,191,37180,163,47897.14,227,66,47,-117,4
27802.5,106,15015,30,41868.75,191,23783.57,82,47897.14,227,67,47,-116,4
22176,73,13173.6,19,41868.75,191,17437.89,44,41868.75,191,65,45,-119,4
17437.89,44,12173.33,13,41868.75,191,14347.83,26,41868.75,191,65,48,-119,4
15745.71,34,11726.79,10,41868.75,191,12173.33,13,41868.75,191,67,49,-116,3
13736.25,22,11726.79,10,41868.75,191,11726.79,10,41868.75,191,68,47,-118,3
13173.6,19,10923,5,41868.75,191,11726.79,10,41868.75,191,66,48,-117,3
12173.33,13,11311.04,7,47897.14,227,11726.79,10,41868.75,191,66,48,-120,3
10923,5,10923,5,47897.14,227,11311.04,7,37180,163,65,48,-118,3
10560,3,11311.04,7,41868.75,191,11726.79,10,25638.46,93,66,50,-117,3
10923,5,10560,3,37180,163,11726.79,10,16549.5,39,64,49,-120,3
10560,3,11311.04,7,37180,163,11726.79,10,13736.25,22,66,49,-118,3
9900,0,10923,5,25638.46,93,11726.79,10,12173.33,13,67,47,-122,3
10219.69,1,10923,5,23783.57,82,11726.79,10,11311.04,7,65,48,-121,3
9900,0,11311.04,7,17437.89,44,12173.33,13,10560,3,65,51,-120,3
9900,0,10923,5,15745.71,34,11726.79,10,10560,3,68,50,-119,3
9900,0,11311.04,7,13736.25,22,11726.79,10,10560,3,67,48,-118,3
9900,0,11311.04,7,12173.33,13,11726.79,10,10560,3,64,46,-119,3
9900,0,10923,5,11726.79,10,12173.33,13,10560,3,68,47,-117,3
9900,0,11311.04,7,11726.79,10,12173.33,13,10219.69,1,67,50,-118,3
9900,0,11311.04,7,11726.79,10,12173.33,13,10560,3,67,48,-118,3
9599.12,-2,10923,5,12173.33,13,12173.33,13,10560,3,67,49,-121,3
12654.23,15,12654.23,15,13173.6,19,12654.23,15,10923,5,68,42,-81,3
12173.33,13,13736.25,22,13736.25,22,12654.23,15,10560,3,80,59,-111,3
12654.23,15,12654.23,15,13736.25,22,13173.6,19,10560,3,81,63,-110,3
13173.6,19,12654.23,15,14347.83,26,12654.23,15,10560,3,81,63,-108,3
13173.6,19,13736.25,22,13736.25,22,12654.23,15,10560,3,79,61,-110,3
14347.83,26,18425,50,14347.83,26,13173.6,19,10560,3,79,64,-108,3
16549.5,39,20769.38,64,14347.83,26,13173.6,19,10560,3,82,62,-108,3
18425,50,23783.57,82,13736.25,22,12654.23,15,10923,5,81,62,-109,3
20769.38,64,27802.5,106,14347.83,26,13173.6,19,10560,3,82,62,-109,3
22176,73,30360,122,13736.25,22,13173.6,19,10560,3,79,61,-110,3
23783.57,82,27802.5,106,13736.25,22,12173.33,13,10560,3,82,62,-109,3
25638.46,93,30360,122,13736.25,22,13173.6,19,10560,3,79,59,-112,3
27802.5,106,37180,163,13736.25,22,12654.23,15,11311.04,7,80,61,-112,3
27802.5,106,37180,163,13173.6,19,12654.23,15,10560,3,80,60,-112,3
30360,122,37180,163,13736.25,22,12654.23,15,10560,3,80,60,-112,3
33429,140,33429,140,14347.83,26,12654.23,15,13736.25,22,79,59,-111,3
33429,140,33429,140,13736.25,22,13173.6,19,19528.23,57,80,61,-107,3
33429,140,37180,163,15015,30,13173.6,19,27802.5,106,80,60,-108,3
30360,122,41868.75,191,20769.38,64,12654.23,15,41868.75,191,81,61,-108,3
33429,140,37180,163,27802.5,106,12654.23,15,41868.75,191,81,62,-109,4
33429,140,37180,163,33429,140,13173.6,19,41868.75,191,79,61,-108,4
37180,163,37180,163,41868.75,191,12654.23,15,47897.14,227,80,61,-104,4
37180,163,47897.14,227,41868.75,191,12654.23,15,47897.14,227,81,61,-106,4
30360,122,41868.75,191,55935,275,13173.6,19,55935,275,80,61,-107,4
37180,163,37180,163,41868.75,191,13173.6,19,41868.75,191,79,61,-107,4
33429,140,37180,163,41868.75,191,13173.6,19,41868.75,191,79,60,-106,4
33429,140,41868.75,191,41868.75,191,12654.23,15,55935,275,81,61,-108,4
27802.5,106,33429,140,41868.75,191,16549.5,39,47897.14,227,81,62,-105,4
22176,73,37180,163,41868.75,191,23783.57,82,47897.14,227,81,60,-105,4
20769.38,64,33429,140,41868.75,191,33429,140,41868.75,191,80,62,-104,4
19528.23,57,33429,140,47897.14,227,37180,163,41868.75,191,81,61,-102,4
17437.89,44,33429,140,41868.75,191,41868.75,191,41868.75,191,83,62,-103,4
17437.89,44,41868.75,191,37180,163,41868.75,191,47897.14,227,82,62,-101,4
16549.5,39,37180,163,41868.75,191,41868.75,191,47897.14,227,82,61,-101,4
15745.71,34,30360,122,37180,163,41868.75,191,41868.75,191,80,60,-102,4
15745.71,34,22176,73,25638.46,93,41868.75,191,47897.14,227,81,62,-101,4
15015,30,20769.38,64,15745.71,34,41868.75,191,41868.75,191,82,62,-101,4
14347.83,26,17437.89,44,11726.79,10,37180,163,37180,163,82,62,-99,4
13736.25,22,16549.5,39,12173.33,13,37180,163,30360,122,80,61,-99,4
13736.25,22,15745.71,34,12173.33,13,41868.75,191,15745.71,34,78,62,-99,3
13173.6,19,15745.71,34,12173.33,13,41868.75,191,10923,5,82,62,-99,3
13736.25,22,14347.83,26,12173.33,13,41868.75,191,10219.69,1,83,61,-100,3
12654.23,15,13736.25,22,12173.33,13,27802.5,106,10219.69,1,83,61,-101,3
12654.23,15,12173.33,13,12173.33,13,18425,50,10560,3,84,61,-103,3
13173.6,19,12173.33,13,12654.23,15,15015,30,10219.69,1,82,62,-101,3
13173.6,19,10923,5,12173.33,13,12654.23,15,10219.69,1,83,60,-100,3
12654.23,15,10923,5,12173.33,13,11311.04,7,10560,3,83,60,-105,3
12654.23,15,10923,5,12654.23,15,11726.79,10,10219.69,1,81,60,-104,3
13736.25,22,10219.69,1,12654.23,15,11726.79,10,10560,3,80,60,-106,3
13736.25,22,10560,3,13173.6,19,11311.04,7,10560,3,83,61,-104,3
13173.6,19,10560,3,12654.23,15,11726.79,10,10560,3,82,60,-102,3
10560,3,13736.25,22,15015,30,12654.23,15,11311.04,7,86,61,-63,3
10219.69,1,13736.25,22,15015,30,12654.23,15,10560,3,68,62,-119,3
10923,5,13736.25,22,15015,30,12654.23,15,10560,3,67,63,-116,3
10560,3,13736.25,22,15015,30,12173.33,13,10219.69,1,68,62,-118,3
10560,3,13736.25,22,15015,30,12654.23,15,10560,3,67,63,-116,3
10219.69,1,13736.25,22,14347.83,26,13173.6,19,10923,5,69,63,-117,3
10560,3,13736.25,22,13736.25,22,12173.33,13,10923,5,69,63,-117,3
10219.69,1,15015,30,13736.25,22,12654.23,15,10923,5,71,65,-118,3
10560,3,18425,50,13736.25,22,13173.6,19,10560,3,67,63,-118,3
11726.79,10,20769.38,64,13173.6,19,13173.6,19,10923,5,69,63,-118,3
15015,30,23783.57,82,13173.6,19,13173.6,19,12654.23,15,69,62,-118,3
18425,50,27802.5,106,13736.25,22,12654.23,15,18425,50,68,61,-118,4
22176,73,33429,140,13736.25,22,12654.23,15,27802.5,106,68,64,-118,4
22176,73,33429,140,13736.25,22,12654.23,15,37180,163,71,61,-117,4
23783.57,82,33429,140,15015,30,13173.6,19,41868.75,191,70,62,-118,4
25638.46,93,37180,163,15745.71,34,12654.23,15,47897.14,227,69,61,-119,4
27802.5,106,37180,163,22176,73,12654.23,15,47897.14,227,67,62,-121,4
33429,140,41868.75,191,30360,122,13736.25,22,55935,275,69,60,-118,4
33429,140,47897.14,227,33429,140,12654.23,15,41868.75,191,68,62,-119,4
33429,140,41868.75,191,41868.75,191,12654.23,15,47897.14,227,68,59,-117,4
33429,140,41868.75,191,41868.75,191,13173.6,19,47897.14,227,68,60,-117,4
30360,122,41868.75,191,41868.75,191,12654.23,15,47897.14,227,69,60,-114,4
30360,122,41868.75,191,47897.14,227,13173.6,19,41868.75,191,70,60,-114,4
25638.46,93,41868.75,191,55935,275,12654.23,15,47897.14,227,70,62,-115,4
27802.5,106,47897.14,227,47897.14,227,13173.6,19,41868.75,191,69,62,-116,4
27802.5,106,47897.14,227,41868.75,191,22176,73,41868.75,191,69,61,-116,4
23783.57,82,41868.75,191,47897.14,227,33429,140,47897.14,227,71,59,-117,4
22176,73,41868.75,191,47897.14,227,41868.75,191,47897.14,227,69,62,-117,4
18425,50,37180,163,47897.14,227,41868.75,191,41868.75,191,68,61,-118,4
15015,30,37180,163,41868.75,191,47897.14,227,41868.75,191,69,60,-116,4
12654.23,15,41868.75,191,41868.75,191,41868.75,191,47897.14,227,71,63,-116,4
11726.79,10,41868.75,191,37180,163,41868.75,191,37180,163,68,61,-117,3
12173.33,13,37180,163,41868.75,191,41868.75,191,41868.75,191,70,61,-113,3
11311.04,7,33429,140,37180,163,41868.75,191,41868.75,191,70,61,-114,3
10923,5,27802.5,106,30360,122,41868.75,191,37180,163,69,63,-115,3
9900,0,25638.46,93,22176,73,41868.75,191,25638.46,93,68,61,-114,3
9900,0,19528.23,57,15745.71,34,41868.75,191,16549.5,39,70,63,-114,3
9900,0,16549.5,39,13173.6,19,41868.75,191,12654.23,15,70,62,-117,3
10219.69,1,15745.71,34,12654.23,15,41868.75,191,10560,3,68,61,-114,3
10219.69,1,13736.25,22,12173.33,13,33429,140,10219.69,1,69,65,-116,3
10219.69,1,12173.33,13,12173.33,13,27802.5,106,10560,3,69,62,-114,3
9900,0,11311.04,7,12654.23,15,20769.38,64,10560,3,69,61,-114,3
10219.69,1,10923,5,12654.23,15,15745.71,34,10923,5,70,63,-113,3
10219.69,1,10923,5,12173.33,13,13736.25,22,10923,5,70,61,-115,3
10219.69,1,10219.69,1,12654.23,15,12173.33,13,10219.69,1,71,62,-116,3
10219.69,1,10219.69,1,12654.23,15,11311.04,7,10560,3,70,62,-112,3
10219.69,1,10923,5,12173.33,13,11726.79,10,10923,5,70,62,-114,3
10219.69,1,10923,5,13173.6,19,11726.79,10,10219.69,1,67,61,-113,3
9900,0,10560,3,12654.23,15,11726.79,10,10560,3,70,61,-115,3
9900,0,10923,5,13173.6,19,12173.33,13,10560,3,69,62,-113,3
10219.69,1,10560,3,13736.25,22,11311.04,7,10923,5,70,62,-115,3
12173.33,13,12654.23,15,13736.25,22,13736.25,22,10923,5,67,40,-119,3
12173.33,13,13173.6,19,13173.6,19,13173.6,19,10923,5,63,36,-125,3
12654.23,15,13173.6,19,13736.25,22,12654.23,15,10923,5,62,38,-125,3
12173.33,13,13173.6,19,13736.25,22,13173.6,19,10923,5,63,38,-124,3
12173.33,13,12173.33,13,13736.25,22,13173.6,19,11311.04,7,63,37,-124,3
12654.23,15,13173.6,19,13173.6,19,13173.6,19,11311.04,7,63,36,-125,3
12173.33,13,13736.25,22,13173.6,19,13173.6,19,11311.04,7,64,38,-124,3
14347.83,26,15015,30,13736.25,22,12173.33,13,10923,5,65,39,-122,3
15745.71,34,17437.89,44,12654.23,15,13173.6,19,10923,5,64,40,-123,3
18425,50,25638.46,93,13736.25,22,12654.23,15,11311.04,7,60,38,-123,3
19528.23,57,30360,122,13173.6,19,12654.23,15,11311.04,7,66,39,-123,3
23783.57,82,33429,140,13736.25,22,12654.23,15,10923,5,65,37,-122,3
25638.46,93,30360,122,12654.23,15,12654.23,15,11726.79,10,64,38,-120,3
25638.46,93,33429,140,15015,30,14347.83,26,15015,30,63,38,-121,3
25638.46,93,30360,122,17437.89,44,15745.71,34,15745.71,34,65,39,-121,3
23783.57,82,27802.5,106,20769.38,64,20769.38,64,18425,50,64,39,-119,3
23783.57,82,23783.57,82,25638.46,93,23783.57,82,18425,50,65,38,-119,3
25638.46,93,19528.23,57,27802.5,106,25638.46,93,18425,50,66,38,-120,3
23783.57,82,17437.89,44,33429,140,30360,122,19528.23,57,64,37,-119,3
22176,73,14347.83,26,30360,122,27802.5,106,18425,50,65,37,-119,3
22176,73,15015,30,33429,140,25638.46,93,18425,50,66,38,-119,3
17437.89,44,13736.25,22,30360,122,27802.5,106,18425,50,65,37,-121,3
16549.5,39,11726.79,10,27802.5,106,23783.57,82,19528.23,57,63,37,-124,3
14347.83,26,11311.04,7,30360,122,25638.46,93,16549.5,39,63,38,-119,3
13173.6,19,10923,5,27802.5,106,25638.46,93,17437.89,44,64,38,-122,3
12654.23,15,10923,5,30360,122,25638.46,93,18425,50,62,39,-123,3
13173.6,19,10560,3,27802.5,106,25638.46,93,18425,50,64,38,-122,3
13173.6,19,10560,3,25638.46,93,25638.46,93,16549.5,39,64,38,-121,3
12654.23,15,10219.69,1,25638.46,93,25638.46,93,17437.89,44,65,39,-121,3
11726.79,10,10923,5,16549.5,39,25638.46,93,18425,50,62,38,-122,3
11726.79,10,10560,3,13736.25,22,22176,73,17437.89,44,65,37,-123,3
11311.04,7,10560,3,13173.6,19,20769.38,64,18425,50,64,37,-122,3
10560,3,10219.69,1,13173.6,19,14347.83,26,16549.5,39,63,39,-121,3
10219.69,1,10560,3,12173.33,13,12173.33,13,13736.25,22,62,38,-118,3
9599.12,-2,10219.69,1,12654.23,15,11726.79,10,11726.79,10,67,38,-116,3
9900,0,10560,3,12173.33,13,11726.79,10,11311.04,7,66,39,-116,3
9900,0,10560,3,12654.23,15,11726.79,10,10923,5,63,38,-116,3
9900,0,10219.69,1,12654.23,15,12173.33,13,11311.04,7,65,39,-116,3
9900,0,10219.69,1,12173.33,13,11726.79,10,11311.04,7,66,39,-115,3
9599.12,-2,10560,3,12654.23,15,12173.33,13,11726.79,10,66,38,-116,3
9599.12,-2,10560,3,13173.6,19,11726.79,10,11311.04,7,65,38,-116,3
9900,0,11311.04,7,13173.6,19,11726.79,10,11311.04,7,64,38,-118,3
9900,0,10923,5,12654.23,15,11726.79,10,11311.04,7,64,39,-115,3
9599.12,-2,10923,5,13173.6,19,11726.79,10,10923,5,66,38,-116,3
10219.69,1,10560,3,12654.23,15,11726.79,10,11311.04,7,65,39,-116,3
9599.12,-2,10923,5,13736.25,22,12173.33,13,10923,5,65,38,-116,3
10219.69,1,10923,5,12654.23,15,12173.33,13,11311.04,7,64,38,-116,3
9900,0,11311.04,7,12654.23,15,12173.33,13,11311.04,7,66,37,-116,3
10219.69,1,11311.04,7,13173.6,19,12173.33,13,11311.04,7,64,38,-117,3
9900,0,10923,5,12654.23,15,12173.33,13,10923,5,66,38,-118,3
9599.12,-2,10923,5,13173.6,19,12173.33,13,11311.04,7,64,39,-116,3
11726.79,10,12173.33,13,15015,30,14347.83,26,11311.04,7,-88,-8,305,2
11311.04,7,11311.04,7,20769.38,64,14347.83,26,11311.04,7,64,52,-122,2
11311.04,7,11726.79,10,25638.46,93,14347.83,26,11311.04,7,64,56,-121,2
10923,5,11726.79,10,27802.5,106,15015,30,10923,5,62,54,-121,2
11726.79,10,11726.79,10,27802.5,106,14347.83,26,11311.04,7,63,54,-122,2
11311.04,7,11311.04,7,30360,122,15015,30,11311.04,7,62,53,-122,2
11726.79,10,11726.79,10,27802.5,106,14347.83,26,11311.04,7,62,52,-119,2
11726.79,10,12173.33,13,13173.6,19,14347.83,26,11311.04,7,63,53,-122,2
12173.33,13,12173.33,13,11726.79,10,14347.83,26,11726.79,10,63,53,-122,2
14347.83,26,12173.33,13,12173.33,13,13736.25,22,11726.79,10,63,53,-121,2
15745.71,34,12654.23,15,12173.33,13,15015,30,11311.04,7,64,54,-120,2
18425,50,15745.71,34,12173.33,13,14347.83,26,11311.04,7,63,54,-119,2
20769.38,64,18425,50,12173.33,13,14347.83,26,11311.04,7,65,54,-120,3
22176,73,22176,73,12173.33,13,15015,30,12173.33,13,65,55,-119,3
20769.38,64,23783.57,82,12654.23,15,19528.23,57,15745.71,34,63,53,-119,3
23783.57,82,27802.5,106,13736.25,22,23783.57,82,18425,50,65,53,-118,3
23783.57,82,30360,122,16549.5,39,25638.46,93,20769.38,64,65,53,-117,3
20769.38,64,25638.46,93,19528.23,57,30360,122,23783.57,82,65,54,-119,3
22176,73,27802.5,106,23783.57,82,25638.46,93,25638.46,93,63,54,-117,3
22176,73,25638.46,93,27802.5,106,27802.5,106,25638.46,93,63,52,-120,3
20769.38,64,27802.5,106,25638.46,93,27802.5,106,30360,122,64,53,-118,3
22176,73,25638.46,93,27802.5,106,27802.5,106,27802.5,106,63,57,-119,3
19528.23,57,25638.46,93,30360,122,25638.46,93,25638.46,93,67,54,-117,3
20769.38,64,30360,122,27802.5,106,25638.46,93,23783.57,82,64,54,-119,3
18425,50,25638.46,93,27802.5,106,23783.57,82,27802.5,106,64,55,-119,3
17437.89,44,22176,73,27802.5,106,25638.46,93,25638.46,93,64,55,-119,3
15745.71,34,18425,50,30360,122,27802.5,106,25638.46,93,65,55,-121,3
15745.71,34,16549.5,39,30360,122,25638.46,93,23783.57,82,63,51,-121,3
14347.83,26,14347.83,26,27802.5,106,25638.46,93,25638.46,93,65,55,-122,3
12654.23,15,13736.25,22,27802.5,106,30360,122,23783.57,82,65,53,-122,2
11311.04,7,13736.25,22,27802.5,106,27802.5,106,22176,73,64,56,-122,2
10923,5,13736.25,22,30360,122,25638.46,93,17437.89,44,63,57,-122,2
10219.69,1,12173.33,13,22176,73,25638.46,93,14347.83,26,65,55,-122,2
10923,5,11311.04,7,16549.5,39,25638.46,93,12654.23,15,63,54,-123,2
10560,3,11726.79,10,15015,30,23783.57,82,12654.23,15,64,54,-121,2
10219.69,1,10923,5,12654.23,15,16549.5,39,12654.23,15,64,55,-121,2
10219.69,1,10923,5,11726.79,10,12173.33,13,12173.33,13,65,57,-122,2
10560,3,10923,5,11726.79,10,10560,3,12173.33,13,64,54,-121,2
10219.69,1,10560,3,11726.79,10,10923,5,11726.79,10,65,54,-119,2
10560,3,10560,3,12173.33,13,10923,5,12173.33,13,65,56,-121,2
10219.69,1,10219.69,1,12173.33,13,10923,5,11726.79,10,66,54,-120,2
10560,3,10560,3,11726.79,10,11311.04,7,11726.79,10,64,57,-120,2
10560,3,10560,3,11726.79,10,11311.04,7,12173.33,13,65,54,-119,2
10560,3,10219.69,1,12173.33,13,11726.79,10,12173.33,13,64,55,-120,2
10219.69,1,10560,3,12173.33,13,11726.79,10,12173.33,13,64,54,-120,2
10560,3,10560,3,12173.33,13,11311.04,7,11726.79,10,63,53,-120,2
10923,5,10219.69,1,12173.33,13,10923,5,12654.23,15,64,55,-119,2
10219.69,1,10219.69,1,12654.23,15,11726.79,10,12173.33,13,63,55,-120,2
10560,3,9900,0,12173.33,13,11311.04,7,12654.23,15,63,54,-122,2
10219.69,1,10560,3,12654.23,15,11726.79,10,11726.79,10,63,53,-120,2
10560,3,10923,5,13173.6,19,11726.79,10,12654.23,15,65,55,-121,2
11726.79,10,11726.79,10,18769.38,64,12654.23,15,11726.79,10,64,50,-117,3
12173.33,13,11726.79,10,22638.46,93,13173.6,19,12173.33,13,63,50,-119,3
12173.33,13,11726.79,10,20802.5,106,13173.6,19,12173.33,13,66,49,-117,3
11726.79,10,12173.33,13,27802.5,106,12654.23,15,12173.33,13,65,51,-118,3
12173.33,13,11726.79,10,30360,122,13173.6,19,12173.33,13,62,50,-116,3
11726.79,10,12173.33,13,27802.5,106,13736.25,22,12173.33,13,65,50,-118,3
12173.33,13,12654.23,15,13173.6,19,12654.23,15,11311.04,7,63,50,-118,3
12173.33,13,14347.83,26,11726.79,10,13173.6,19,12173.33,13,63,50,-116,3
12173.33,13,17437.89,44,12173.33,13,12654.23,15,11726.79,10,66,48,-118,3
12173.33,13,19528.23,57,12173.33,13,13173.6,19,12654.23,15,64,50,-117,3
12654.23,15,22176,73,12173.33,13,13736.25,22,12173.33,13,64,51,-117,3
12654.23,15,23783.57,82,12173.33,13,13173.6,19,12173.33,13,66,52,-116,3
12173.33,13,25638.46,93,12173.33,13,13736.25,22,12173.33,13,64,48,-115,3
13173.6,19,25638.46,93,12654.23,15,13173.6,19,11726.79,10,63,50,-117,3
14347.83,26,27802.5,106,13736.25,22,15015,30,12173.33,13,64,51,-117,3
15745.71,34,27802.5,106,16549.5,39,19528.23,57,12173.33,13,63,50,-114,3
16549.5,39,27802.5,106,19528.23,57,23783.57,82,12654.23,15,63,52,-115,3
16549.5,39,27802.5,106,23783.57,82,22176,73,15015,30,64,50,-115,3
19528.23,57,23783.57,82,27802.5,106,27802.5,106,16549.5,39,64,50,-115,3
19528.23,57,25638.46,93,25638.46,93,25638.46,93,18425,50,64,50,-115,3
19528.23,57,27802.5,106,27802.5,106,23783.57,82,19528.23,57,64,49,-115,3
19528.23,57,23783.57,82,30360,122,25638.46,93,20769.38,64,62,50,-114,3
20769.38,64,25638.46,93,27802.5,106,23783.57,82,19528.23,57,65,52,-112,3
20769.38,64,25638.46,93,27802.5,106,23783.57,82,19528.23,57,64,51,-111,3
18425,50,23783.57,82,27802.5,106,23783.57,82,19528.23,57,64,51,-112,3
20769.38,64,22176,73,30360,122,22176,73,19528.23,57,65,52,-111,3
18425,50,20769.38,64,30360,122,25638.46,93,19528.23,57,64,52,-112,3
16549.5,39,19528.23,57,27802.5,106,25638.46,93,19528.23,57,66,51,-112,3
16549.5,39,19528.23,57,27802.5,106,22176,73,19528.23,57,65,51,-113,3
14347.83,26,19528.23,57,27802.5,106,25638.46,93,18425,50,62,51,-113,3
10923,5,18425,50,30360,122,22176,73,19528.23,57,64,52,-114,3
10923,5,17437.89,44,22176,73,22176,73,19528.23,57,64,52,-114,3
10219.69,1,18425,50,16549.5,39,22176,73,18425,50,64,52,-116,3
10219.69,1,15745.71,34,15015,30,23783.57,82,19528.23,57,65,53,-116,3
10219.69,1,15745.71,34,12654.23,15,22176,73,18425,50,63,55,-113,3
10560,3,15015,30,11726.79,10,16549.5,39,16549.5,39,66,51,-115,3
10219.69,1,13736.25,22,11726.79,10,15015,30,13173.6,19,63,51,-116,3
10219.69,1,13173.6,19,11726.79,10,12654.23,15,12654.23,15,62,52,-115,3
9900,0,12654.23,15,12173.33,13,11726.79,10,12173.33,13,63,51,-115,2
10219.69,1,12654.23,15,12173.33,13,12173.33,13,12173.33,13,63,52,-114,2
10219.69,1,12654.23,15,11726.79,10,11726.79,10,12173.33,13,66,51,-116,2
10219.69,1,13173.6,19,11726.79,10,12173.33,13,11311.04,7,64,53,-116,2
10560,3,11726.79,10,12173.33,13,12173.33,13,11311.04,7,63,51,-114,2
9900,0,11726.79,10,12173.33,13,12173.33,13,11726.79,10,63,51,-117,2
9900,0,11726.79,10,12173.33,13,12173.33,13,11311.04,7,63,51,-114,2
10560,3,11726.79,10,12173.33,13,12173.33,13,11726.79,10,65,53,-116,2
10560,3,11726.79,10,12654.23,15,12173.33,13,12173.33,13,63,52,-114,2
10219.69,1,11726.79,10,12173.33,13,13173.6,19,11311.04,7,64,52,-116,2
10219.69,1,10923,5,12654.23,15,12654.23,15,11726.79,10,66,52,-116,2
10560,3,10923,5,13173.6,19,12654.23,15,11726.79,10,65,52,-114,2
10560,3,11726.79,10,13173.6,19,13173.6,19,11311.04,7,64,52,-115,2
12173.33,13,11726.79,10,12173.33,13,5490.52,-27,14347.83,26,83,42,-156,3
12173.33,13,12173.33,13,12654.23,15,5490.52,-27,14347.83,26,83,44,-154,3
12173.33,13,13173.6,19,12173.33,13,5490.52,-27,13736.25,22,83,43,-154,3
12173.33,13,13736.25,22,12173.33,13,5490.52,-27,13736.25,22,84,42,-154,3
12654.23,15,15015,30,13173.6,19,5391.86,-27,14347.83,26,82,44,-151,3
15015,30,15745.71,34,14347.83,26,5391.86,-27,14347.83,26,82,42,-154,3
16549.5,39,17437.89,44,14347.83,26,5296.5,-28,13173.6,19,82,44,-154,3
17437.89,44,18425,50,16549.5,39,5592.63,-26,13736.25,22,83,41,-154,3
18425,50,20769.38,64,19528.23,57,5592.63,-26,13736.25,22,82,41,-154,3
19528.23,57,22176,73,22176,73,6039.62,-23,14347.83,26,80,41,-153,3
20769.38,64,22176,73,25638.46,93,6703.13,-19,15015,30,81,45,-154,3
23783.57,82,23783.57,82,25638.46,93,7172,-16,15745.71,34,83,42,-154,3
23783.57,82,25638.46,93,27802.5,106,8553.95,-8,18425,50,83,43,-156,3
23783.57,82,27802.5,106,27802.5,106,8553.95,-8,19528.23,57,80,44,-156,3
25638.46,93,30360,122,33429,140,7172,-16,22176,73,82,44,-154,3
27802.5,106,30360,122,30360,122,1998.21,-48,23783.57,82,82,44,-152,4
30360,122,30360,122,30360,122,1920.6,-48,23783.57,82,82,42,-153,4
30360,122,37180,163,33429,140,1998.21,-48,25638.46,93,83,41,-153,4
30360,122,33429,140,41868.75,191,2047.39,-47,27802.5,106,83,42,-154,4
30360,122,33429,140,37180,163,2208.27,-46,25638.46,93,82,41,-155,4
33429,140,41868.75,191,33429,140,2081.36,-47,30360,122,81,44,-153,4
30360,122,37180,163,41868.75,191,2370.72,-45,30360,122,82,41,-154,4
25638.46,93,41868.75,191,37180,163,2392.5,-45,37180,163,81,42,-155,5
27802.5,106,41868.75,191,41868.75,191,2307.42,-46,37180,163,82,40,-154,5
30360,122,41868.75,191,41868.75,191,27802.5,106,41868.75,191,80,41,-153,5
27802.5,106,37180,163,37180,163,27802.5,106,41868.75,191,82,38,-153,5
30360,122,37180,163,33429,140,30360,122,41868.75,191,81,40,-154,5
25638.46,93,33429,140,30360,122,27802.5,106,41868.75,191,80,39,-153,5
